City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kristiansund,63.1115,7.732,289.51,63,75,4.12,NO,1689871158
1,kodiak,57.79,-152.4072,283.88,100,75,1.54,US,1689871011
2,lompoc,34.6391,-120.4579,298.11,84,100,3.09,US,1689871158
3,grytviken,-54.2811,-36.5092,268.37,85,100,0.94,GS,1689871158
4,san patricio,28.017,-97.5169,307.63,40,57,5.77,US,1689871158
5,whitehorse,60.7161,-135.0538,289.32,54,75,1.54,CA,1689871159
6,port elizabeth,-33.918,25.5701,284.31,58,75,2.57,ZA,1689871159
7,guercif,34.2257,-3.3536,313.58,17,18,8.9,MA,1689871159
8,hadibu,12.65,54.0333,298.49,79,100,8.08,YE,1689871159
9,yamada,39.4667,141.95,292.08,94,91,0.34,JP,1689871160
10,howard springs,-12.497,131.047,296.1,63,11,2.07,AU,1689871131
11,keflavik,64.0049,-22.5624,285.39,82,75,2.57,IS,1689871160
12,qaqortoq,60.7167,-46.0333,282.58,86,100,1.84,GL,1689871160
13,nantucket,41.2835,-70.0995,300.23,88,65,1.7,US,1689870979
14,avarua,-21.2078,-159.775,294.18,60,75,2.57,CK,1689871160
15,maceio,-9.6658,-35.7353,299.84,69,75,6.69,BR,1689871076
16,edinburgh of the seven seas,-37.0676,-12.3116,284.95,59,30,10.94,SH,1689871161
17,nagqu,31.5,92.0,276.67,63,1,2.19,CN,1689871162
18,yellowknife,62.456,-114.3525,296.44,56,100,1.03,CA,1689871058
19,dabat,12.9842,37.765,286.34,89,100,2.21,ET,1689871162
20,carrizo springs,28.5219,-99.8606,307.49,49,0,6.33,US,1689871162
21,paraty,-23.2178,-44.7131,293.95,84,86,2.7,BR,1689871074
22,blackmans bay,-43.0167,147.3167,279.0,88,62,2.56,AU,1689871163
23,inarajan village,13.2736,144.7484,300.69,89,100,2.77,GU,1689871163
24,skovorodino,53.9833,123.9167,283.15,89,0,0.79,RU,1689871164
25,callao,-12.0667,-77.15,296.31,60,75,4.12,PE,1689871164
26,port-aux-francais,-49.35,70.2167,274.94,59,58,17.73,TF,1689871001
27,papatowai,-46.5619,169.4708,278.77,71,6,7.52,NZ,1689871164
28,bethel,41.3712,-73.414,303.27,58,0,1.54,US,1689871164
