City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-5.98,76,18,4.69,GS,1690226335
1,waitangi,-43.9535,-176.5597,12.12,98,100,3.13,NZ,1690226217
2,grande prairie,55.1667,-118.8027,19.1,68,100,2.57,CA,1690226182
3,port-aux-francais,-49.35,70.2167,3.8,70,100,11.01,TF,1690226335
4,yellowknife,62.456,-114.3525,24.29,43,100,2.57,CA,1690226333
5,adamstown,-25.066,-130.1015,19.96,68,29,4.21,PN,1690226336
6,east london,-33.0153,27.9116,14.23,60,0,3.34,ZA,1690226336
7,arraial do cabo,-22.9661,-42.0278,23.98,73,0,9.26,BR,1690226336
8,sokoni,-6.4333,39.55,24.91,81,60,7.31,TZ,1690226336
9,lebu,-37.6167,-73.65,10.77,85,100,8.36,CL,1690226230
10,touros,-5.1989,-35.4608,27.58,66,31,8.26,BR,1690226157
11,utrik,11.2278,169.8474,28.24,76,80,7.34,MH,1690226336
12,errachidia,31.9275,-4.4285,41.03,6,0,4.63,MA,1690226337
13,barcelos,41.5388,-8.6151,21.62,68,9,5.32,PT,1690226337
14,anzio,41.4853,12.6179,32.95,70,86,8.33,IT,1690226337
15,hawaiian paradise park,19.5933,-154.9731,26.73,91,100,2.57,US,1690226337
16,port mathurin,-19.6833,63.4167,23.22,77,79,8.44,MU,1690226254
17,sakaiminato,35.55,133.2333,25.99,89,40,2.57,JP,1690226337
18,mana,5.6592,-53.7767,27.02,84,99,4.44,GF,1690226337
19,edinburgh of the seven seas,-37.0676,-12.3116,15.02,75,86,16.4,SH,1690226239
20,nuuk,64.1835,-51.7216,12.34,71,20,5.66,GL,1690226338
21,halifax,44.6453,-63.5724,29.94,61,75,4.12,CA,1690226158
22,chinde,26.8418,88.0763,19.49,86,100,1.4,NP,1690226338
23,horta,38.5333,-28.6333,23.8,87,75,3.13,PT,1690226240
24,port alfred,-33.5906,26.891,12.59,67,0,4.62,ZA,1690226338
25,lulea,65.5842,22.1547,13.04,71,100,3.09,SE,1690226123
26,blackmans bay,-43.0167,147.3167,8.07,82,91,2.18,AU,1690226338
27,hirado,33.3597,129.5531,24.66,85,0,3.46,JP,1690226339
28,cabeza del buey,38.7223,-5.2195,27.93,26,0,6.61,ES,1690226339
29,macia,-25.0269,33.0989,19.12,80,100,5.11,MZ,1690226339
30,bandon,51.7469,-8.7425,16.77,75,100,5.15,IE,1690226339
31,puerto natales,-51.7236,-72.4875,-3.21,76,100,0.73,CL,1690226339
32,chonchi,-42.6128,-73.8092,7.56,95,100,4.21,CL,1690226270
33,tiksi,71.6872,128.8694,3.57,83,20,1.86,RU,1690226339
34,kapa'a,22.0752,-159.319,28.18,80,100,7.2,US,1690226339
35,liuhe,42.2401,125.7172,18.48,97,23,2.13,CN,1690226340
36,alo,7.4178,6.7371,23.31,97,100,1.77,NG,1690226340
37,hermanus,-34.4187,19.2345,11.07,66,0,2.68,ZA,1690226340
38,kyosai,34.8503,128.5886,23.98,95,100,1.97,KR,1690226340
39,iqaluit,63.7506,-68.5145,7.85,75,75,4.47,CA,1690226340
40,pisco,-13.7,-76.2167,22.03,64,0,4.63,PE,1690226071
41,melgar,4.2048,-74.6407,34.88,41,20,2.33,CO,1690226224
42,leshan,29.5623,103.7639,23.31,97,98,0.16,CN,1690226341
